# Final cluster catalogue of successfully downloaded clusters
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
ID Name "RA [deg]" "Dec [deg]" z_cl Richness "BCG redshift"
0 HSCJ021528-044041 33.867663 -4.678112 0.3323 67.112 0.34784
1 HSCJ021634-041821 34.140488 -4.305831 0.1536 25.383 0.13812
2 HSCJ021635-042812 34.145469 -4.470047 0.4549 24.227 0.45234
3 HSCJ021648-043624 34.19852 -4.606752 0.2921 16.67 0.2924
4 HSCJ021834-053802 34.640549 -5.633937 0.352 15.585 0.38257
5 HSCJ021942-045231 34.922934 -4.875215 0.316 24.651 0.33276
6 HSCJ021954-035028 34.974673 -3.841027 0.35 28.804 0.36201
7 HSCJ021956-052803 34.982768 -5.467562 0.26 17.377 0.27847
8 HSCJ022044-032741 35.181886 -3.461483 0.319 28.155 -1.0
9 HSCJ022146-034619 35.440622 -3.771924 0.428 81.456 0.43293
10 HSCJ022202-043205 35.510176 -4.53467 0.316 29.268 0.31871
11 HSCJ022315-033155 35.811913 -3.532035 0.2557 15.888 -1.0
12 HSCJ022351-053640 35.96049 -5.611028 0.4931 25.536 0.4984
13 HSCJ022358-043505 35.991831 -4.584709 0.49 20.87 0.49463
14 HSCJ022402-050527 36.009025 -5.090751 0.3248 17.217 0.3236
15 HSCJ022433-041419 36.1385 -4.238711 0.252 21.257 0.26365
16 HSCJ022434-045007 36.139605 -4.835337 0.4956 19.617 0.49427
17 HSCJ022525-044045 36.352973 -4.679212 0.2569 17.31 0.26427
18 HSCJ022531-041419 36.378198 -4.238511 0.167 22.53 0.14287
19 HSCJ022618-035958 36.575581 -3.999442 0.2011 18.458 0.2093
20 HSCJ022636-040410 36.648632 -4.069545 0.334 20.133 0.34557
21 HSCJ022715-050432 36.813271 -5.075641 0.1552 19.915 0.14311
22 HSCJ022801-045150 37.003431 -4.863963 0.2917 33.843 -1.0
23 HSCJ022828-042608 37.115947 -4.435437 0.4268 27.404 0.43204
24 HSCJ022829-045939 37.121887 -4.994112 0.3505 17.781 0.33416
25 HSCJ022833-040229 37.138804 -4.041442 0.314 16.456 0.3295
26 HSCJ023028-043349 37.615632 -4.563601 0.2708 31.574 0.29508
27 HSCJ095458+030823 148.741736 3.139669 0.3327 15.155 0.34352
28 HSCJ095528+013947 148.866922 1.662985 0.1051 19.391 0.09841
29 HSCJ095536+010310 148.898153 1.052658 0.4511 32.482 0.45367
30 HSCJ095606+023650 149.024473 2.613957 0.4876 21.148 -1.0
31 HSCJ095609+031818 149.037233 3.305095 0.324 18.19 0.31358
32 HSCJ095728+033956 149.365903 3.665493 0.1685 29.723 0.16461
33 HSCJ095736+023359 149.401207 2.566327 0.3939 36.856 -1.0
34 HSCJ095743+005441 149.427239 0.911282 0.216 15.422 0.21854
35 HSCJ095746+022533 149.441577 2.42593 0.4928 19.126 0.48068
36 HSCJ095805+032643 149.521028 3.445167 0.174 57.228 0.17021
37 HSCJ095824+024916 149.600087 2.821159 0.3406 22.118 0.34456
38 HSCJ095847+033929 149.697232 3.658021 0.4539 20.454 -1.0
39 HSCJ095903+025545 149.761347 2.929082 0.332 35.483 0.34852
40 HSCJ095922+011559 149.840257 1.266423 0.356 17.1 -1.0
41 HSCJ095938+031001 149.906605 3.167029 0.302 17.661 0.30445
42 HSCJ100006+011823 150.02705 1.306386 0.2166 20.316 -1.0
43 HSCJ100015+011002 150.063346 1.167105 0.226 17.033 -1.0
44 HSCJ100022+022328 150.090891 2.391225 0.218 39.12 0.22057
45 HSCJ100046+013926 150.189763 1.65736 0.214 32.002 0.22053
46 HSCJ100057+013142 150.238621 1.528438 0.3528 18.996 0.36317
47 HSCJ100126+010220 150.358019 1.038933 0.106 17.564 0.09302
48 HSCJ100231+024610 150.630157 2.769557 0.2203 15.285 0.2496
49 HSCJ100340+024624 150.9146 2.773258 0.172 15.419 -1.0
50 HSCJ100359+023701 150.99684 2.616874 0.3263 16.335 0.35058
51 HSCJ100452+025434 151.214728 2.909356 0.108 20.353 0.10644
52 HSCJ100459+015442 151.245921 1.911798 0.2087 22.877 0.22502
53 HSCJ100531+025813 151.378542 2.970341 0.48 33.721 -1.0
54 HSCJ100532+023518 151.381353 2.588445 0.3477 74.42 0.3696
55 HSCJ160106+543223 240.275615 54.539622 0.264 17.254 -1.0
56 HSCJ160159+552418 240.495567 55.404902 0.4065 34.279 0.40022
57 HSCJ160302+550842 240.759467 55.144933 0.2559 16.507 -1.0
58 HSCJ160434+551301 241.141994 55.217045 0.3787 21.171 0.39354
59 HSCJ160436+555710 241.152051 55.952816 0.3867 36.267 0.39723
60 HSCJ160439+543137 241.164027 54.526879 0.2565 93.063 -1.0
61 HSCJ160502+553750 241.258613 55.630648 0.24 59.938 -1.0
62 HSCJ160538+551316 241.407666 55.2211 0.2545 18.074 -1.0
63 HSCJ160545+544618 241.438626 54.771587 0.469 16.977 -1.0
64 HSCJ160551+544727 241.460631 54.790937 0.2607 30.558 0.23298
65 HSCJ160633+535359 241.637582 53.899641 0.3621 45.434 0.35301
66 HSCJ160805+540837 242.019086 54.143685 0.234 18.782 0.23392
67 HSCJ160827+531435 242.113805 53.242982 0.178 26.046 0.16139
68 HSCJ161038+540531 242.658004 54.09191 0.34 39.491 0.33868
69 HSCJ161054+554838 242.723421 55.810591 0.2521 30.306 -1.0
70 HSCJ161101+561748 242.752404 56.296798 0.2962 30.878 -1.0
71 HSCJ161111+562145 242.793959 56.362575 0.3547 16.361 0.33671
72 HSCJ161112+553451 242.798732 55.580789 0.2239 53.063 0.21706
73 HSCJ161136+541635 242.899724 54.276265 0.3421 59.583 0.33739
74 HSCJ161154+562442 242.974723 56.411672 0.434 19.287 0.42144
75 HSCJ161213+544118 243.054309 54.688374 0.2201 15.345 0.21092
76 HSCJ161221+532107 243.08739 53.35191 0.1745 24.597 -1.0
77 HSCJ161224+534029 243.098729 53.674696 0.1546 18.143 -1.0
78 HSCJ161225+555438 243.103339 55.910497 0.274 40.058 0.26624
79 HSCJ161227+544824 243.111471 54.806797 0.334 17.008 0.32822
80 HSCJ161235+534048 243.147755 53.679912 0.2608 17.377 -1.0
81 HSCJ161249+550239 243.205028 55.0443 0.496 17.773 0.49189
82 HSCJ161249+540837 243.205992 54.143572 0.1608 27.337 0.15165
83 HSCJ161252+553529 243.215998 55.591409 0.2499 17.187 -1.0
84 HSCJ161317+560119 243.322798 56.022025 0.4939 21.432 -1.0
85 HSCJ161321+541031 243.336171 54.175244 0.232 15.302 0.22648
86 HSCJ161357+544820 243.486982 54.805543 0.4335 20.671 -1.0
87 HSCJ161401+542627 243.505539 54.440937 0.276 18.282 -1.0
88 HSCJ161409+533145 243.538289 53.529282 0.186 18.898 0.16175
89 HSCJ161412+554132 243.549793 55.692331 0.2542 21.247 0.25077
90 HSCJ161414+554729 243.557626 55.791506 0.4942 17.642 0.49607
91 HSCJ161415+544328 243.5641 54.724547 0.338 58.474 0.33289
92 HSCJ161434+542551 243.643491 54.430889 0.2334 33.604 0.23271
93 HSCJ161437+563755 243.654225 56.632079 0.1622 15.48 0.13622
94 HSCJ161548+532829 243.949168 53.474606 0.38 22.114 0.39133
